,Questions,Correct,A,B,C,D,Category
390,"In 2000, microbes were found at the South Pole.
",True,False,True,,,geography
391,"What river, draining into the Caspian Sea, is the longest in Europe?
",Volga,Danube,Ural,Dnieper,Volga,geography
392,"Where are the origins of the Rhine?
",Switzerland,Switzerland,Austria,Belgium,Germany,geography
393,"What is the longest river in France?
",Loire,Loire,Maine,Odet,Erdre,geography
394,"What river rises in the northwestern Czech Republic, flows through Germany and into the North Sea?
",Elbe,Elbe,Viskan,Morava,Oste,geography
395,"What river named after a mythological figure is the longest river of Great Britain?
",Severn,Trent,Great Ouse,Thames,Severn,geography
396,"What river flows through ten European countries and is the longest in the European Union?
",Danube,Rhine,Dnieper,Danube,Elbe,geography
397,"What river that flows through Spain and Portugal is the longest river on the Iberian Peninsula?
",Tagus,Guadiana,Duero,Guadalquivir,Tagus,geography
398,"What is the longest river in Poland and the ninth longest in Europe?
",Vistula,Wda,Nogat,Vistula,Dunajec,geography
399,"In what country does the River Po rise?
",Italy,France,Italy,Belgium,Switzerland,geography
400,"This bridge, that spans the Tagus River, is the longest bridge in Europe.
",Vasco da Gama Bridge,Vizcaya Bridge,Guadiana International Bridge,Vasco da Gama Bridge,Merida Bridge,geography
401,"How would you say What is your name? in Tagalog?
",Ano ang pangalan mo?,Ilang taong gulang ka na?,Ano ang ginagawa mo?,Ano ang pangalan mo?,Saan ka nakatira?,geography
402,"The Filipino word Bulaklak means flower in English.
",True,False,True,,,geography
403,"What does the Filipino word lungsod mean in English?
",city,market,city,island,province,geography
404,"The Filipino word pangalan means name in English. What does the word pangngalan mean?
",noun,address,adjective,noun,verb,geography
405,"The Filipino word maganda means beautiful in English.
",True,True,False,,,geography
406,"What Filipino word means money in English?
",pera,tindahan,mura,pera,wala,geography
407,"What does the Filipino word salita mean in English?
",word,word,phrase,sentence,meaning,geography
408,"How will you say I Love You in Filipino?
",Mahal Kita,Mahal Kita,Ikaw Na Nga,Sino Ka,Hindi Ko Alam,geography
409,"Who is considered the Father of Filipino Language?
",Manuel Quezon,Gloria Macapagal-Arroyo,Ferdinand Marcos,Emilio Aguinaldo,Manuel Quezon,geography
410,"This western half of this island is part of Indonesia, while the eastern half is a nation which gained independence in 2002, following hundreds of years of European colonialism and 25 years of Indonesian occupation.
",Timor,Borneo,Sumatra,Timor,Celebes,geography
411,"Which Indonesian island is shared by four Indonesian provinces and two other nations: the eastern half of Malaysia and the tiny oil-rich sultanate of Brunei?
",Borneo,New Guinea,Sumatra,Borneo,Flores,geography
412,"These islands were the original spice islands, which have drawn traders from all over the world for thousands of years, and were a major factor in causing the European age of exploration, as explorers set out to find the fabled East Indies.
","Ternate, Tidore and Banda","Ternate, Tidore and Banda","Timor, Flores and Sumba",Celebes and New Guinea,Sumatra and Borneo,geography
413,"Which Indonesian island was in the news in 2003 when the remains of an extinct variety of small hominids (popularly referred to as Hobbits), measuring about 3 feet in height, were found there?
",Flores,Sumatra,New Guinea,Timor,Flores,geography
414,"This island, the second largest in the world, is shared by Indonesia and another country. Because of its impenetrable swamps, jungles and towering mountains, it wasnt explored by outsiders until the past 100 years, and new tribes of humans with stone-age societies are still being discovered in the interior.
",New Guinea,New Guinea,Flores,Celebes,Sumatra,geography
415,"This island is the third largest in Indonesia, and is probably known for its coffee. It is also home to unique (and endangered) species of elephants, tigers, and rhinoceroses. It is also one of two islands which have indigenous orangutans.
",Sumatra,Timor,Sumatra,New Guinea,Celebes,geography
416,"Which of these describes best the location of the volcanic island of Krakatau (sometimes erroneously called Krakatoa), which had a well-known and devastating eruption on August 23, 1883?
",Between Java and Sumatra,West of New Guinea,East of Java,Between Java and Sumatra,Off the coast of Borneo,geography
417,"This volcano, located on the island of Sumbawa, erupted in 1815, generally regarded as the largest volcanic eruption in recorded history. The eruption killed thousands, and changed global climatic patterns.
",Tambora,Merapi,Krakatau,Mandiri,Tambora,geography
418,"Wichita, the county seat of Sedgwick County, is nicknamed what?
",Air Capital,Air Capital,Mountain Capital,Plain Capital,River capital,geography
419,"Wichita, a major aircraft manufacturing hub and cultural center, is the capital of Kansas.
",False,True,False,,,geography
420,"This multifunctional facility is located at 225 West Douglas, Wichita, Kansas.
",Century II Convention center,Exploration Place,None of these,Century II Convention center,Hyatt hotel,geography
421,"McConnell Air Force Base is a United States Air Force base located in Sedgwick County, near Wichita, Kansas.
",True,True,False,,,geography
422,"What is the name of the European peninsula on which Italy is located?
",Italian Peninsula,Scandinavian Peninsula,Iberian Peninsula,Italian Peninsula,Balkan Peninsula,geography
423,"What is the capital and largest city of Italy?
",Rome,Milan,Genoa,Rome,Venice,geography
424,"What large mountain range is located entirely within the territory of Italy?
",Apennines,Alps,Andes,Apennines,Carpathians,geography
425,"Italy is a major world exporter of which of the following?
",All of these,All of these,Sport and luxury vehicles,Motor vehicles,Fashion items,geography
426,"What is the meaning of the Italian word riavvolgere, from which the name of the popular Italian dish ravioli originated?
",To wrap,Poor peasant,Onion,To wrap,To indulge,geography
427,"Which of these colors is not present on the national flag of the Italian Republic?
",Blue,White,Red,Blue,Green,geography
428,"What is the title of the national anthem of the Italian Republic?
",The Song of the Italians,The Italian Anthem,The Song of the Italians,"Italia, Land of Glory",Italian Dream,geography
429,"What is the meaning of the name of Italy according to scientists who have studied its origin?
",Land of young cattle,Land of the holy water,Land of the lamb,Land of young cattle,Land of mountains,geography
430,"What is the shape of the Italian Peninsula?
",Boot,Skull,Boot,Dog,Hand,geography
431,"In which of these years did the Italian national football team win the FIFA World Cup?
",All of these,1982,2006,All of these,1938,geography
432,"The first European to explore the Chesapeake Bay surrounded by modern day Maryland and Virginia was the Italian Giovanni da Verrazzano.
",False,True,False,,,geography
433,"Maryland is well known as a colony of religious tolerance.  It was the first American colony to fully accept practitioners of which religion?
",Catholics,Quakers,Presbyterians,Catholics,Jews,geography
434,"Maryland Day is celebrated every year on what date?
",March 25th,The first day of crab season,Preakness Saturday,March 25th,March 1st,geography
435,"Which was the seat of colonial government in Maryland until 1708?
",St. Maryâ€™s City,Annapolis,Port Tobacco,Baltimore,St. Maryâ€™s City,geography
436,"The Mason Dixon Line is a demarcation line surveyed between 1763 and 1767 by Charles Mason and Jeremiah Dixon to determine what?
",The boundary between Maryland and Pennsylvania,The boundary between the confederacy and the union,The boundary between the slave states and free states,The boundary between Maryland and Pennsylvania,The boundary between southern colonies and northern colonies,geography
437,"What are Marylandâ€™s two official state nicknames?
",â€œThe Old Line Stateâ€ and â€œThe Free Stateâ€,â€œThe Old Line Stateâ€ and â€œThe Free Stateâ€,â€œThe Crab Stateâ€ and â€œOur Chesapeake Heritageâ€,â€œThe Crab Stateâ€ and â€œThe Old Line Stateâ€,â€œThe Free Stateâ€ and â€œOur Chesapeake Heritageâ€,geography
438,"Maryland derives its name from its Catholic founders, who named the state after which historic person?
",Queen Henrietta Maria of France,"Mary, Queen of Scots",Mary Magdalene,The Virgin Mary,Queen Henrietta Maria of France,geography
439,"What is the state sport of Maryland?
",Jousting,Steeplechase,Jousting,Lacrosse,Horse racing,geography
440,"Which of the following famous people is NOT a Marylander?
",Valerie Bertinelli,John Wilkes Booth,Frederick Douglass,Tom Clancy,Valerie Bertinelli,geography
441,"Which is the state flower of Maryland?
",Black-eyed Susan,Mountain Laurel,Peach Blossom,Black-eyed Susan,Flowering Dogwood,geography
442,"How tall is Mount Everest?
","8,849 m","8,859 m","8,849 m","8,850 m","8,840 m",geography
443,"What is the Tibetan name of Mt. Everest?
",Chomolungma,Appa Sherpa,Sagarmatha,Chomolungma,Temba Tsheri,geography
444,"The Sanskrit name of Mt. Everest is Devgiri.
",True,True,False,,,geography
445,"The easier and more frequently-used of the two main routes for climbing Mount Everest is the Northeast Ridge (or North Col Route).
",False,False,True,,,geography
446,"The term Death Zone refers to what altitude?
","above 8,000 m","above 8,100 m","above 8,000 m","above 7,900 m","above 7,500 m",geography
447,"What is considered to be the final major hurdle before reaching the summit of Mt. Everest from the South Col Route?
",Hillary Step,Hillary Step,"First Step, Second Step and Third Step",Kangshung face,Lhotse face,geography
448,"Has anyone landed an aircraft or helicopter on the summit of Mt. Everest?
",Yes,Yes,No,,,geography
449,"Part of the Southeast Ridge Route for climbing Mt. Everest is the Lhotse Face in which Camp III is established. There are 14 peaks over 8,000 meters. Where does Lhotse rank?
",4,4,3,8,13,geography
450,"Who is the first American to ascend all fourteen peaks over 8,000m without oxygen?
",Ed Viesturs,Reinhold Messner,Peter Habeler,Ed Viesturs,George Mallory,geography
451,"During Roman occupation, this city, popular nowadays as the Heaven of Romance, was called Lutetia.
",Paris,Venice,Paris,London,Rome,geography
452,"In what European city are Piazza San Marco and Canale Grande located?
",Venice,Venice,Lisbon,Madrid,Florence,geography
453,"In what country will you find the impressive Neuschwanstein Castle, which was the inspiration for Sleeping Beauty Castle at Disneyland Park?
",Germany,Denmark,Austria,Germany,England,geography
454,"What is the birthplace of Johann Strauss II, also known as The Waltz King?
",Vienna,Salzburg,Vienna,Berlin,Prague,geography
455,"What popular tourist destination stands at the foot of the Maritime Alps?
",Monte Carlo,Monte Carlo,Verona,Vatican City,Lisbon,geography
456,"This city, situated on the River Vltava, is sometimes called the mother of cities, the city of a hundred spires and the golden city.
",Prague,Athens,Rome,Prague,Bucharest,geography
457,"What city is home of Broadway Theatre?
",New York,Washington,Boston,New Orleans,New York,geography
458,"This island in the Pacific Ocean is surrounded by a lagoon and a barrier reef.
",Bora Bora,Bora Bora,Cyprus,Thasos,Tupai,geography
459,"The city of Casablanca, which is the setting of the classic 1942 movie, starring Humphrey Bogart and Ingrid Bergman, is located in what African country?
",Morocco,Egypt,Morocco,Tunisia,Algeria,geography
460,"What islands are knows as â€œThe beautiful garland in the Indian Oceanâ€?
",Maldives Islands,Aeolian Islands,Pontine Islands,Flegrean Islands,Maldives Islands,geography
461,"This island, located in the Caribbean Sea, is the largest island of an archipelago called Greater Antilles. The city of Havana is located on it.
",Cuba,Cuba,Hispaniola,Haiti,Jamaica,geography
462,"This island, also known as Formosa, is the largest island of the Republic of China.
",Taiwan,Matsu,Taiwan,Penghu,Honshu,geography
463,"What island, located in the North Pacific Ocean, is also known as the Big Island?
",Hawaii,Cuba,Haiti,Hawaii,Maui,geography
464,"This island country whose capital is Nicosia is the third-largest Mediterranean island.
",Cyprus,Cyprus,Crete,Malta,Lesbos,geography
465,"This island is one of Indonesias 33 provinces.
",Bali,Java,Sumatra,Bali,Lombok,geography
466,"This European island is situated in the North Atlantic Ocean, south of the Arctic Circle. Its largest city is Reykjavik.
",Iceland,Iceland,Ireland,Greenland,None of these,geography
467,"This is the sixth largest island in the world, and the largest island that is entirely in Indonesia.
",Sumatra,Sumatra,New Guinea,Java,Borneo,geography
468,"This island, sometimes called island of inspiration, is part of a very large country, and has a unique fauna.
",Tasmania,Hawaii,Tasmania,Madagascar,Greenland,geography
469,"Valletta is the capital city of this island country in the Mediterranean.
",Malta,Majorca,Malta,Corsica,Cyprus,geography
470,"Name the largest of the Canary Islands.
",Tenerife,Tenerife,Gran Canaria,La Palma,Montana Clara,geography
471,"What is the name of the capital and largest city of Spain?
",Madrid,Madrid,Rome,Milan,Valencia,geography
472,"What is the meaning of the name of Spain according to a popular theory?
",All of these,Land of rabbits,All of these,Edge,Land of the setting sun,geography
473,"Spain does not share a border with which one of these countries?
",Germany,Germany,Portugal,France,Andorra,geography
474,"What is the official language spoken on the territory of Spain?
",Spanish,All of these,Spanish and Galician,Spanish and Basque,Spanish,geography
475,"When is the national holiday called Hispanic Day celebrated annually in Spain?
",October 12,October 12,August 15,December 6,December 8,geography
476,"What is the title of the national anthem of Spain?
",The Royal March,My Precious Kingdom,God Save Spain,Proud Spain,The Royal March,geography
477,"What are the colors of the three vertical stripes on the national flag of Spain?
","Red, yellow, red","Blue, white, blue","Yellow, red and black","Red, yellow, red","White, blue and red",geography
478,"What is the main ingredient of the traditional Spanish dish paella?
",Rice,Lentils,Rice,Dough,Potatoes,geography
479,"Which of these popular musicians was not born in Spain?
",Shakira,Paco de Lucia,Shakira,Alejandro Sanz,Enrique Iglesias,geography
480,"Spanish painter and sculptor Pablo Picasso is known for co-founding what art movement?
",Cubism,Cubism,Expressionism,Surrealism,Neorealism,geography
481,"In which section of Israel is Eilat located?
",South,East,West,South,North,geography
482,"When was the city of Eilat founded?
",1951,1951,1939,1941,1929,geography
483,"What is the population of Eilat according to the Israel Central Bureau of Statistics end of 2004 census?
","45,800","45,800","179,400","79,200","129,700",geography
484,"What best describes the climate of Eilat?
",Hot and dry all year,Hot and dry all year,Humid and hot  summers and humid and cool winters,"Humid, hot summers and dry, cool winters","Hot, dry summers and humid, cool winters",geography
485,"Which city is a sister city to Eilat?
","Los Angeles, California","Hollywood, Florida","West Palm Beach, Florida","Los Angeles, California","Boca Raton, Florida",geography
486,"Which is the major source of revenue for the Eilat area?
",Tourism,Agriculture,Tourism,Jewelry,Mining,geography
487,"Israels major airport is located near Eilat.
",False,True,False,,,geography
488,"Which four countries can be seen from Eilat?
","Israel, Egypt, Jordan, Saudi Arabia","Israel, Egypt, Saudi Arabia, Yemen","Israel, Egypt, Jordan, Saudi Arabia","Israel, Jordan, Syria, Lebanon","Israel, Egypt, Jordan, Syria",geography
489,"In 1967, Egypt effectively blockaded Eilat by closing this area to Israel.
",The Straits of Tiran,The Golan Heights,The Sinai Peninsula,The Straits of Tiran,The Suez Canal,geography
490,"The Peace Treaty between Jordan and Israel was signed near Eilat. In what year did this happen?
","October, 1994","October, 2004","October,1968","October, 1975","October, 1994",geography
491,"Where does the Freedom Trail begin and end?
","Boston Common, Charlestown Navy Yard","Kings Chapel, Bunker Hill Monument","Trinity Church, Long Wharf","Boston Public Gardens, Old North Church","Boston Common, Charlestown Navy Yard",geography
492,"On October 24, 1901, Annie Edson Taylor became the first person to go over the Niagara Falls in a barrel as a publicity stunt. How old was she at the time?
",63,63,23,43,33,geography
493,"What is the famous Niagara boat called?
",Maid of the Mist,Niagara-on-the-Lake,Lady Horseshoe,Maid of the Mist,Lady of the Mist,geography
494,"Name the smallest of the three waterfalls that make up the Niagara Falls.
",Bridal Veil Falls,Bridal Veil Falls,There are only two waterfalls that make up the Niagara Falls.,Goat Falls,Horseshoe,geography
495,"Approximately what percentage of the water of the Niagara River flows over the Horseshoe Falls?
",90%,70%,90%,50%,10%,geography
496,"The flow of the water over the American Falls was completely blocked from June to November in what year?
",1969,1942,1969,1983,1936,geography
497,"How long is the crest of the American Falls if measured along the jagged lip of the falls?
",950  feet  (290 m),393  feet  (120 m),950  feet  (290 m),688  feet  (210 m),1310 feet  (400 m),geography
498,"What event related to the Niagara Falls occurred on March 29th 1848?
",The flow of water over both falls stopped to the point where people could walk around the riverbed.,The flow of water over both falls stopped to the point where people could walk around the riverbed.,The flow of water was stopped completely over the American Falls.,The waterfalls were named,"A third, much smaller waterfall was discovered.",geography
499,"The cities of Niagara Falls, Ontario and Niagara Falls, New York are connected by three bridges. Which of them is the oldest one?
",Whirlpool Rapids Bridge,Whirlpool Rapids Bridge,Rainbow Bridge,Kingston Bridge,Lewiston-Queenston Bridge,geography
500,"When was the Skylon Tower, Niagaras most famous landmark, built?
",in the 1960s,in the 1950s,in the 1940s,in the 1960s,in the 1990s,geography
501,"Around the year 1859, Jean-FranÃ§ois Blondin crossed the gorge below Niagara Falls on a tightrope 1100 feet (335 m) long, 160 feet (50 m) above the water. He made this accomplishment several times including which of the following theatrical variations?
",All of these,All of these,He carried his manager on his back.,He sat down midway while he cooked and ate an omelette.,He was blindfolded.,geography
502,"Which U.S. state is nicknamed The Natural State?
",Arkansas,Alabama,Alaska,Arizona,Arkansas,geography
503,"What nickname has been given to the U.S. state of Oregon?
",Beaver State,All of these,Marmot State,Beaver State,Otter State,geography
504,"What U.S. state is nicknamed Land of Infinite Variety?
",South Dakota,South Carolina,Florida,Delaware,South Dakota,geography
505,"Which of these nicknames has been given to the U.S. state of Colorado?
",Switzerland of America,Sweden of America,Himalayas of America,All of these,Switzerland of America,geography
506,"Which of these nicknames has been given to the U.S. state of Illinois?
",Corn State,Corn State,Rubber State,Cotton State,Paper State,geography
507,"This U.S. state was nicknamed Vacationland, and the nickname is used on license plates.
",Maine,Hawaii,Maine,Nevada,California,geography
508,"The Independence State is one of the nicknames of this U.S. state.
",Pennsylvania,Virginia,New Hampshire,Pennsylvania,West Virginia,geography
509,"Which U.S. state is nicknamed The Cowboy State?
",Wyoming,Texas,Iowa,Wyoming,Idaho,geography
510,"What nickname has been given to the U.S. state of Rhode Island?
",Ocean State,Ocean State,Marine State,Island State,All of these,geography
511,"The nickname Queen State has been given to this U.S. state.
",Maryland,West Virginia,Virginia,All of these,Maryland,geography
512,"Which country, Slovakia or Slovenia, used to be part of Yugoslavia?
",Slovenia,Slovenia,Both,Slovakia,None of them,geography
513,"Which former empire were both Slovenia and Slovakia part of?
",Austria-Hungary,Austria-Hungary,Byzantium,Ottoman Empire,Roman Empire,geography
514,"Slovakia and Slovenia joined the European Union on the same day (May 1, 2004). Which of them was first to accept the euro currency?
",Slovenia,None of them has accepted the EURO currency.,Both did on the day of their accession to the EU.,Slovakia,Slovenia,geography
515,"What is the capital of Slovakia?
",Bratislava,Ljubljana,Prague,Zagreb,Bratislava,geography
516,"What is the capital of Slovenia?
",Ljubljana,Prague,Bratislava,Ljubljana,Zagreb,geography
517,"Which country borders both Slovenia and Slovakia?
",Austria,Serbia,Austria,Poland,Germany,geography
518,"Which statement concerning Slovakia and Slovenia is true?
",Slovenia has access to the Adriatic Sea.,Both countries have access to the Black Sea.,Slovenia has access to the Adriatic Sea.,Slovakia has access to the Baltic Sea.,Both countries are landlocked.,geography
519,"The Danube river flows through many Central European countries. Which of these statements concerning Slovakia and Slovenia is true?
","Of the two countries, only Slovakia has Danubian banks.",The Danube does not flow through either of the 2 countries.,The Danube originates in Slovakia and then enters Slovenia.,"Of the two countries, only Slovakia has Danubian banks.",The Danube originates in Slovenia and then flows through Slovakia.,geography
520,"Which of these statements regarding Slovakia and Slovenia is true?
",Only Slovenia is an Alpine country.,Only Slovakia is an Alpine country.,Only Slovenia is an Alpine country.,None of them is an Alpine country.,Both are Alpine countries.,geography
521,"Which country, Slovakia or Slovenia, borders a country that did not join the European Union in the period 1951-2007?
",Both share borders with countries that did not became EU members during this period.,Only Slovakia borders a country that did not join the EU during this period.,Both share borders only with countries that became EU members during this period.,Both share borders with countries that did not became EU members during this period.,Only Slovenia borders a country that did not join the EU during this period.,geography
522,"What design is depicted on the national flag of Switzerland?
",Cross,Sun,Cross,Star,Leaf,geography
523,"Switzerland is often associated with this product which is produced at the highest quality in the country.
",All of these,Chocolate,Watches,All of these,Cheese,geography
524,"What is the unofficial national motto of Switzerland?
","One for all, all for one",Progress ans prosperity,In God we trust,"One for all, all for one",Higher and stronger,geography
525,"What is the capital city of Switzerland?
",Bern,Bonn,Bern,Berlin,Zurich,geography
526,"What mountain covers about 65% of the territory of Switzerland?
",the Alps,the Apennines,the Andes,Ararat,the Alps,geography
527,"What language is adopted as official for the territory of Switzerland?
",All of these,German,Italian,French,All of these,geography
528,"What is the title of the national anthem of Switzerland?
",Swiss Psalm,Swiss Vow,Swiss Song,Swiss Anthem,Swiss Psalm,geography
529,"What is the main ingredient of the traditional Swiss dish Rosti?
",Potatoes,Cheese,Cabbage,Fish,Potatoes,geography
530,"What is the largest city in Switzerland?
",Zurich,Geneva,Zurich,Bern,Munich,geography
531,"Which of these famous philosophers was of Swiss descent?
",Jean-Jacques Rousseau,Jean-Jacques Rousseau,Michel Foucault,Friedrich Schiller,Jean-Paul Sartre,geography
532,"Which of these is the capital and the largest city in North Korea?
",Pyongyang,Nampho,Hungnam,Sinuiju,Pyongyang,geography
533,"What type of climate does North Korea have?
",Continental,Oceanic,Humid subtropical,Continental,Tropical,geography
534,"Which of these seas surrounds the Korean Peninsula, in the northern part of which North Korea is located?
",All of these,All of these,East China Sea,Sea of Japan,Yellow Sea,geography
535,"The establishment of the Democratic Peoples Republic of Korea in this year set the official beginning of North Koreas history.
",1948,1940,1950,1948,1945,geography
536,"Which of these statements is true about the division of Korea into two parts?
",All of these,Korea was divided at the 38th parallel.,North Korea was to be administered by the Soviet union.,All of these,It followed the end of World War II.,geography
537,"Which of these natural disasters is known to hit the lands of North Korea on the regular?
",All of these,All of these,Droughts,Floods,Typhoons,geography
538,"What is the official language that is spoken in North Korea?
",Korean,All of these,Russian,Korean,Japanese,geography
539,"Which of these religious movements has many adherents among the people of North Korea?
",All of these,Korean shamanism,Cheondoism,All of these,Buddhism,geography
540,"Which of these musicians became the first US musical group ever to perform in North Korea?
",The New York Philharmonic Orchestra,The Black Eyed Peas,The New York Philharmonic Orchestra,The Helen Henderson Choir of Victory Baptist Church,Linkin Park,geography
541,"Which of these events is regularly performed only in North Korea?
",Mass games,Mass games,Senior citizens beauty pageant,Politicians athletics,Binoculars football games,geography
542,"What other name is commonly used to refer to the Colorado River in North America?
",Red River,Black River,Yellow River,Blue River,Red River,geography
543,"What is the name of the longest river in the United States of America?
",Missouri,Colorado,Missouri,Rio Grande,Mississippi,geography
544,"The Ohio River does not flow though the territory of this American state.
",Virginia,Illinois,Virginia,Kentucky,West Virginia,geography
545,"What is the longest river located entirely within the territory of the state of California?
",Sacramento River,Mad River,Salmon River,Big River,Sacramento River,geography
546,"What is the meaning of the name of the Mississippi River, which originated from the Ojibwe word misi-ziibi?
",Great river,Holy water,Fast river,River of life,Great river,geography
547,"What ocean fish migrates from the Pacific Ocean to the Columbia River to spawn at the end of their life cycles?
",All of these,Steelhead salmon (Rainbow trout),All of these,Coho salmon,Chinook salmon,geography
548,"What is the The Rio Grande river called in Mexico?
",Rio Bravo,All of these,Rio Bravo,Rio Rojo,Rio del Fuego,geography
549,"What river in North America provides food for the largest wintering Bald Eagle population in the continental United States?
",Skagit River,Fraser,Skeena,St. Lawrence,Skagit River,geography
550,"What does the Mohawk name of the Saint Lawrence River, Kaniatarowanenneh, mean?
",Big waterway,Female river,Murmur of the gods,Burning water,Big waterway,geography
551,"More than half of the Yukon River is located within this American state.
",Alaska,North Dakota,Kansas,Alaska,Texas,geography
552,"What is the name of the capital and largest city of Norway?
",Oslo,Reykjavik,Bergen,Oslo,Helsinki,geography
553,"According to some medieval texts, the name of Norway originated from the name of which of the following?
",The name of a king,A mountain,The name of a king,The name of a river,An animal,geography
554,"What type of government does Norway have?
",Constitutional monarchy,Absolute monarchy,Constitutional monarchy,Democratic republic,Presidential republic,geography
555,"What animal is depicted on the Coat of Arms of Norway?
",Lion,Lion,Bear,Deer,Wolf,geography
556,"What is the predominant form of Christianity in Norway?
",Protestantism,Anglicanism,Eastern Orthodox Christianity,Roman Catholicism,Protestantism,geography
557,"What is the official language adopted by the government of Norway?
",Norwegian,Norwegian and Finnish,Norwegian and English,Norwegian and Romani,Norwegian,geography
558,"What is the title of the national anthem of Norway?
","Yes, We Love This Country","Glory, Glory","Oh, Amazing Land",The Way North,"Yes, We Love This Country",geography
559,"What is Bunad?
",A Norwegian costume,A traditional Norwegian celebration,A Norwegian song,A Norwegian costume,A Norwegian meal,geography
560,"What is the popular Norwegian delicacy called Smalahove made from?
",Lamb head,Pork intestines,Fish liver,Chicken popes nose,Lamb head,geography
561,"Which of the following is present on the national flag of Norway?
",Cross,Star,Cross,Sun,Mountain,geography
562,"What is the largest carnivorous mammal endemic to the island of Madagascar?
",Fossa,Short-tailed Mongoose,Fanaloka,Meerkat,Fossa,geography
563,"Which of these statements is true about Madagascar?
",None of these,It is slightly smaller than France.,It is the worlds 56th-largest country in terms of area.,None of these,It is the fifth largest island in the world.,geography
564,"What is the title of the national anthem of Madagascar, written by Norbert Raharisoa and composed by Rahajason?
","Oh, Our Beloved Fatherland",Dear Motherland,Blessed Island,"Oh, Our Beloved Fatherland","Rise, Oh, Rise",geography
565,"What are the colors on the national flag of Madagascar, adopted on October 14, 1958?
","White, red and green","Red, yellow and blue",Yellow and green,"Blue, green and yellow","White, red and green",geography
566,"What city is the capital and largest city of Madagascar?
",Antananarivo,Fianarantsoa,Mahajanga,Antananarivo,Toliara,geography
567,"What are the official languages spoken in Madagascar?
","Malagasy, French and English","Malagasy, French and English",Malagasy and English,Malagasy and French,English and French,geography
568,"What is the name some ecologists use wen referring to Madagascar?
",The eight continent,The eight continent,All of these,The island of Adam and Eve,The garden of Eden,geography
569,"What kind of traditional ritual is the Famadihana, practiced by the Malagasy people in Madagascar?
",Turning of the dead,Circumcision,Introducing boys into manhood by tattooing and scarring them,Turning of the dead,Animal sacrifice,geography
570,"What type of meal is the godro-godro, which is very popular in the Madagascar cuisine?
",Pudding,Seafood meal,Rice meal,Pudding,Vegetable stew,geography
571,"This tree is a very important part of the Madagascar dry deciduous forests and six species of it are endemic to the island.
",All of these,All of these,Bottle tree,Monkey bread tree,Upside-down tree,geography
572,"In 1945 Borneo was the site of horrific acts of brutality. The Japanese forced over 6,000 POWs and island civilians to march to a new camp some 160 miles away. This became known as the Sandakan Death March, as only 200 marchers survived to the end of the war.
",False,True,False,,,geography
573,"How many new species of animals and plants were discovered on Borneo between July 2005 and September 2006?
",52,None,121,3,52,geography
574,"Between the 1980s and 2006 Borneo lost approximately 45 % of its rain forests due to logging.
",False,False,True,,,geography
575,"Borneo is the 3rd largest island in the world.
",True,True,False,,,geography
576,"From the 1600s to the 1800s, the British and Dutch were interested in Borneo because they wanted control of this resource.
",Pepper,Pepper,Salt,Coffee,Tea,geography
577,"Which of the characteristics below is typical for the buildings on the Greek archipelago of Santorini?
",The white-and-blue colouring,The white-and-blue colouring,The huge balconies,The red-tiled roofs,The arched doors,geography
578,"What is the biggest Greek island ?
",Crete,Rhodes,Cyprus,Euboea,Crete,geography
579,"The Navagio Bay (also known as the Shipwreck) is the most popular beach of which Greek island?
",Zakynthos,Mykonos,Zakynthos,Lefkada,Thasos,geography
580,"Halkidiki, one of the Greek peninsulas, has a peculiar form which resembles what?
",A trident,A horseshoe,A trident,An olive twig,The Greek letter Omega,geography
581,"Which medieval monument is an essential part of the archaeological sites of the Greek island Rhodes?
",The Palace of the Grand Master,The Palace of the Grand Master,The White Tower,The Venice Castle of Naoussa,The Odeon,geography
582,"Which island is NOT a part of Greece?
",Gozo,Kea,Hydra,Gozo,Kos,geography
583,"The Corinth Canal separates this Greek peninsula from the mainland of Greece.
",Peloponnese,Halkidiki,Mani,Elounda,Peloponnese,geography
584,"Which is the largest group of Greek islands?
",The Cyclades,The Cyclades,The Sporades,The Ionian,The East Aegean,geography
585,"The Cave of Melissani is among the most popular geological landmarks of which Greek island?
",Kefallonia,Kefallonia,Lefkada,Mykonos,Samos,geography
586,"Which of the following places in Greece is NOT an island?
",Kavala,Alonissos,Ithaka,Kavala,Kythira,geography
587,"The Shinsengumi group remained loyal to the Tokugawa shogunate until the end of the Bakamatsu.
",True,False,True,,,geography
588,"What is the name of the leader of the first squad of Shinsengumi?
",Okita SÅji,Okita SÅji,Inoue GenzaburÅ,Harada Sanosuke,TÅdÅ Heisuke,geography
589,"At its peak, how many members did the Shinsengumi group have?
",300+,50+,300+,200+,100+,geography
590,"According to the Shinsengumi rules, if the leader of a unit is mortally wounded in a fight, what should the rest of the group do?
",All members of the unit must fight and die on the spot.,Run away,Take the body and run away,Commit Seppuku,All members of the unit must fight and die on the spot.,geography
591,"In which city was the Shinsengumi group founded?
",Kyoto,Kyoto,Tokyo,Nagasaki,Osaka,geography
592,"Who was Shinsengumi Commander from 1863 to 1868?
",KondÅ Isami,Nagakura Shinpachi,Harada Sanosuke,TÅdÅ Heisuke,KondÅ Isami,geography
593,"The code of Shinsengumi comprised five rules. What was the punishment for breaking these rules?
",Sepuku,Sepuku,Cutting of one finger,Exile,Paying six gold coins,geography
