,Questions,Correct,A,B,C,D,Category,Difficulty
405,"What was the reward in RuneScapes 2008 Easter Seasonal Event?
",a chocatrice cape that turns you into a wrapped egg,a chocolate sword that you can eat off of 3 times a day healing 10hp,a chocatrice cape that turns you into a wrapped egg,Easter bunny ears that make your speed increase,a giant cookie,video-games,1
406,"In the mime random event in RuneScape, the object is to identify all the mime emotes and get a reward afterwards.
",True,True,False,,,video-games,1
407,"To start the Demon Slayer Quest in RuneScape, you must talk to which one of these?
",The Gypsy,a dwarf,The Gypsy,Sir Vyrinn,The duke of Lumbridge,video-games,1
408,"In what RuneScape quest do you have to use a friend from the opposite gang?
",Shield of Arrav,Dragon Slayer,Shield of Arrav,Vampire Slayer,Romeo and Juliet,video-games,1
409,"In the game Super Mario Kart, how many coins do you receive for placing 1st in a single race?
",9,15,9,10,12,video-games,1
410,"Do players have lives in the racing game Super Mario Kart?
",Yes,Yes,No,,,video-games,1
411,"In the game Super Mario Kart, what does the mushroom item do to the racer?
",gives the racer a short burst of speed,poisons the racer so they cant steer correctly,gives the racer a short burst of speed,makes the racer large to run over other racers,slows the racer so they dont go as fast,video-games,1
412,"All of the following cups are in the game Super Mario Kart, except which one of these?
",Lightning cup,Star cup,Mushroom cup,Special cup,Lightning cup,video-games,1
413,"The feather item in the game Super Mario Kart helps the racer by jumping.
",True,True,False,,,video-games,1
414,"In the Flower cup, in the game Super Mario Kart, on which track do you start?
",Choco Island,Donut Plains 2,Choco Island,Koopa Beach 1,Mario Circuit 1,video-games,1
415,"In Super Mario Kart, the green shell is a heat-seeking missile.
",False,False,True,,,video-games,1
416,"In the game Super Mario Kart, for the Super Nintendo, it is possible to fall off the track.
",True,True,False,,,video-games,1
417,"All of the following are items used in the game Super Mario Kart, for the Super NES, except which one of the following?
",blue shell,coins,banana peel,ghost,blue shell,video-games,1
418,"On the Nintendo 64 version of Mario Kart, Wario replaced which of the following playable characters from the Super NES version?
",Koopa Troopa,Princess Peach,Koopa Troopa,Donkey Kong,Yoshi,video-games,1
419,"There is a PC port in the first three Timesplitters games.
",False,False,True,,,video-games,1
420,"How many of the following Power Rangers games are for PC: Power Rangers; Power Rangers: Lightspeed Rescue; Power Rangers: Super Legends; Power Rangers Zeo Versus the Machine Empire; Power Rangers: Ninja Storm Double Pack?
",5,5,4,2,1,video-games,1
421,"Excluding collections, how many Might and Magic games were released from 1986 to 2002?
",11,11,9,10,7,video-games,1
422,"In Might and Magic 8, which of these classes are unselectable for the main character?
",Dragon,Vampire,Dark Elf,Knight,Dragon,video-games,1
423,"Joe Satriani was given a special thanks in B.A.T. II.
",True,False,True,,,video-games,1
424,"In which of these games does the player take the role of Kirt?
",Shadowcaster,Marvel: Ultimate Alliance,Quest for Glory,Freedom Force,Shadowcaster,video-games,1
425,"Which of these games is rogue-like?
",Ancient Domains of Mystery,Neverwinter Nights,Baldurs Gate,The Elder Scrolls 4 Obvilion,Ancient Domains of Mystery,video-games,1
426,"How many races are there in Star Wars: Galactic Battlegrounds? (With expansion)
",8,12,7,8,6,video-games,1
427,"What do you transform into in stage 4 of Altered Beast?
",Weretiger,Werewolf,Werebear,Weredragon,Weretiger,video-games,1
428,"Which of these games isnt an action/adventure hybrid?
",Grand Theft Auto,Grand Theft Auto,Kings Quest: Mask of Eternity,The Nine Lives of the Secret Agent Katt,The Adventures of Maddog Williams,video-games,1
429,"Who is the protagonist of the PC game Blood?
",Caleb,Ellen Ripley,Hugo,Blake Stone,Caleb,video-games,1
430,"Which of these isnt a game from the Hugo series?
",Hugos Castle of Death,Hugos Castle of Death,Hugos House of Horror,Nightmare 3D,Whodunit?,video-games,1
431,"Name the odd game.
",Archon,The Terminator,Doom,Twilight 2000,Archon,video-games,1
432,"Which of these games was not developed by Blizzard?
",Hammer of the Gods,Blackthrone,Diablo,The Lost Vikings,Hammer of the Gods,video-games,1
433,"Which of these games was developed by New World Computing?
",Planets Edge,Pizza Tycoon,Planets Edge,Blackthrone,One Must Fall 2097,video-games,1
434,"Which of these isnt a Sega collection for PC?
",Sega Genesis Collection,Sega Genesis Collection,Sonic 3 and Knuckles,Sega Smash Pack,Sonic Adventure DX: Directors Cut,video-games,1
435,"In the Nancy Drew conputer games, Nancy Drews trusty sidekicks are cousins George Fayne and this slightly plump blonde.
",Bess,Jenny,Beth,Bess,Tess,video-games,1
436,"These two detective brothers appear several times in the Nancy Drew computer games to help Nancy solve mysteries.
",Frank and Joe,Frank and Joe,Frank and Moe,Fred and Joseph,None of these,video-games,1
437,"What was the very first Nancy Drew computer game?
",Secrets Can Kill,Treasure in the Royal Tower,Secrets Can Kill,Message in a Haunted Mansion,Secret of the Old Clock,video-games,1
438,"What did Nancy Drew find along with a message in the computer game Message in a Haunted Mansion?
",A shark tooth,A piece of glass,A bat wing,She did not find anything along with the note.,A shark tooth,video-games,1
439,"In which of these computer games did Nancy Drew wake up in the middle of the night because of a nightmare?
",Ghost of Blackmoor Manor,Creature of Kapu Cave,Secrets Can Kill,She never had a nightmare.,Ghost of Blackmoor Manor,video-games,1
440,"Which of these characters appears in the Nancy Drew computer game Lights, Camera, Curses!?
",Molly McOwens,Rick Arlen,None of these,Molly McOwens,Sally McDonald,video-games,1
441,"In the computer game Warnings at Waverly Academy, what was pictured on Nancy Drews cabin door?
","Mr. Mingles, the cat","Mr. Mingles, the cat",A butterfly with you and your roommates names in it,it was blank,The Waverly Academy crow,video-games,1
442,"Rick Arlen is known as an arrogant television star from Stay Tuned for Danger, but his picture appears in what place in another Nancy Drew game?
",In a briefcase,His picture never appears in another game,In a briefcase,In a bottle,In a bedside picture frame,video-games,1
443,"The wolf in the computer game White Wolf of Icicle Creek was named Isis.
",True,False,True,,,video-games,1
444,"In the computer game The Final Scene, a flashing ring gave Nancy Drew the opportunity to save a friend.
",True,True,False,,,video-games,1
445,"In the Nancy Drew computer game Ghost Dogs of Moon Lake, what is the rangers last name?
",Smith,Smith,Wilkinson,Madison,His last name was never revealed,video-games,1
446,"When you first start Wonderland Online, where do you find yourself?
",On a ship,On a ship,On an island,On a dock,In a volcano,video-games,1
447,"When your raft gets washed up, what is the place it lands (for the first time) in the game Wonderland Online?
",Starter Beach,Beginners Island,Tutorial Ridge,Starter Beach,Newbie Point,video-games,1
448,"Which one of these is not a jelly monster you can find on North Island in the game Wonderland Online?
",Pear,Pineapple,Pear,Kiwi,Grape,video-games,1
449,"In Wonderland Online, which of these makes your level go up?
",Killing monsters,Killing monsters,Fishing,Setting up shops,Compounding items,video-games,1
450,"You can ride beasts that you capture in the game Wonderland Online.
",True,True,False,,,video-games,1
451,"In Wonderland Online it is possible to have a dinosaur as a pet.
",True,False,True,,,video-games,1
452,"What game starts when you talk to some fierce rabbits at Kelan Village in Wonderland Online?
",Reaction,Operation,Situation,Conversation,Reaction,video-games,1
453,"What does a mermaid at North Island ask you to fetch for her as a quest in the game Wonderland Online?
",A shell,Her true love,Her will,A message in a bottle,A shell,video-games,1
454,"How many characters in Super Smash Bros Brawl have the Final Smash Attack of Landmaster?
",3,none,3,2,4,video-games,1
455,"How many characters are there at the beginning of Super Smash Bros Brawl?
",20,19,15,21,20,video-games,1
456,"How many Super Smash Bros Brawl characters have 2+ characters in their team?
",5,6,5,4,3,video-games,1
457,"How many bosses are there in Subspace Emissary in Super Smash Bros Brawl?
",8,10,9,8,5,video-games,1
458,"What are the bosses in the first Metroid game?
","Ridley, Kraid, Mother Brain","Alpha Metroid, Gamma Metroid, Zeta Metroid, Omega Metroid, Queen Metroid","Ridley, Mother Brain, Queen Metroid","Ridley, Kraid, Mother Brain","Ridley, Kraid, Queen Metroid",video-games,1
459,"Chronologically what is the last boss Samus has faced in the Metroid series?
",Omega Metroid,Omega Metroid,Queen Metroid,Mother Brain,Aurora Unit 313,video-games,1
460,"In Metroid Prime 3: Corruption Samus fights Meta Ridley while falling down which of the following?
",Generator Shaft,Elevator Shaft,Generator Shaft,Ventilation System,Garbage Disposal,video-games,1
461,"Why is Phatoons eye his weak point in the Metroid series?
",His eye is the only thing that connects him to the material world.,He will run away if blinded.,His eye is the only thing that connects him to the material world.,His eye is his only weapon.,It is unknown.,video-games,1
462,"The Pinnacle of Project Helix is what kind of Phazon Infused Space Pirate?
",Omega Pirate,Berserker Lord,Berserker Knight,Omega Pirate,Elite Pirate,video-games,1
463,"In the Metroid series, the Vorashs weak point is its eyes.
",False,True,False,,,video-games,1
464,"The final boss of Metroid Other M on hard mode is Phantoon.
",False,True,False,,,video-games,1
465,"What is Nightmares main weapon in the Metroid series?
",Multi-laser system,Gravity Manipultain Device,Phazon Cannons,The ability to create hallucinations,Multi-laser system,video-games,1
466,"The Berserker Lord is fought twice in the Metorid series.
",True,True,False,,,video-games,1
467,"Where does the first game of the Crysis series take place?
",Lingshan Islands,Mars,Caribbean Islands,Lingshan Islands,North Korea,video-games,1
468,"Of the Crysis characters below, who is not a member of Raptor Team?
",Alcatraz,Psycho,Alcatraz,Aztec,Prophet,video-games,1
469,"What Crysis character founded C.E.L.L?
",Jacob Hargreave,Jacob Hargreave,Dr. Gould,Tara Strickland,Major Lockhart,video-games,1
470,"Which city is not a Ceph point of interest in the Crysis game series?
",Paris,London,Paris,Cairo,Hawaii,video-games,1
471,"In the Crysis games Ceph Organisms are nicknamed Stalkers.
",True,False,True,,,video-games,1
472,"What is the Typhoons Rate of Fire in the Crysis games?
",500 Rounds Per second,500 Rounds per minute,720 Rounds per second,"None, the Typhoon fires a beam that you must focus on the target",500 Rounds Per second,video-games,1
473,"You can not destroy a round from the Gravity Bomb Launcher in the Crysis games.
",False,True,False,,,video-games,1
474,"Prophet dies at the beginning of Crysis 2 .
",True,True,False,,,video-games,1
475,"In the Crysis games, Pingers do not fire at Alcatraz when he is cloaked.
",False,True,False,,,video-games,1
476,"What year was Crysis character Jacob Hargreave born?
",1896,1967,1896,2001,1919,video-games,1
477,"Which map is considered as a remake of the much loved Halo 3 map Valhalla?
",Ragnarok,Exile,Haven,Vortex,Ragnarok,video-games,1
478,"The plasma rifle is the first covenant weapon to be unlocked in the multiplayer mode of Halo 4.
",False,True,False,,,video-games,1
479,"What are the only two weapons you can use in Grifball in Halo 4 Multiplayer?
",Gravity Hammer and Energy Sword,Gravity Hammer and Energy Sword,Sniper Rifle and Binary Rifle,Rocket Launcher and Incinerator Canon,Storm Rifle and Supressor,video-games,1
480,"What is the award you get for infecting every player in Flood mode in Halo 4 Multiplayer?
",Gravemind,Hunter,Gravemind,Floodifier,Flood Master,video-games,1
481,"Which  Halo 4 Multiplayer map has a Mantis being constructed in the center of the map?
",None,Adrift,None,Ragnarok,Longbow,video-games,1
482,"You can drop weapons of your choice in Halo 4.
",True,False,True,,,video-games,1
483,"On what ship does the Halo 4 Multiplayer take place?
",UNSC Infinity,UNSC Pillar of Autumn,UNSC Infinity,UNSC Spirit of Fire,None,video-games,1
484,"The Binary Rifle in Halo 4 can only kill someone with a headshot.
",False,False,True,,,video-games,1
485,"What is the Promethean pistol called in Halo 4?
",Boltshot,Hardlight Pistol,Plasma Pistol,Light Pistol,Boltshot,video-games,1
486,"Which armor ability allows the user to see through walls in Halo 4?
",Promethean Vision,Advanced Vision googles,Promethean Vision,X-ray Vision,Heat Scanner,video-games,1
487,"What happens when you die in the 2006 Runescape Halloween Event?
",The Grim Reaper comes to claim your body.,You burst into flames of different colors.,The Grim Reaper comes to claim your body.,Saradomin reincarnates your body after you die.,nothing,video-games,1
488,"Jagex Ltd released RuneScape 3 in 2004.
",False,True,False,,,video-games,1
489,"In Runescape a chicken is a level 1 monster.
",True,False,True,,,video-games,1
490,"Zezima is the name of a Runescape player who was first ranked number 1 in 2003.
",False,False,True,,,video-games,1
491,"When were Runescape Bots introduced?
",January 2001,September 2001,January 2001,May 1997,January 1997,video-games,1
492,"How many sub-quests are there in the quest Recipe for Disaster?
",10,six,91,5,10,video-games,1
493,"The King Black Dragon was the highest level monster in Runescape until 7 September 2004, when it was replaced by which of the following?
",The Kalphite Queen,Mithril Dragon,Dust Devil,None of these,The Kalphite Queen,video-games,1
494,"Did any Runescape player manage to kill the Corporal Beast by themselves without abusing a glitch during the first year of the Beasts release?
",No,No,Yes,,,video-games,1
495,"On Tutorial Island of RuneScape you get runes from a male character.
",True,False,True,,,video-games,1
496,"Which of these RuneScape weapons is the most powerful?
",Ahrims staff,Ancient staff,Sardomin staff,Iban staff,Ahrims staff,video-games,1
497,"Which of these is the best type of RuneScape weapon for non members?
",Dragon,Rune,Granite,Barrow,Dragon,video-games,1
498,"Which of these RuneScape quests is the most difficult?
",Monkey Madness,Final Showdown of Death,Prince Ali Rescue,Monkey Madness,Dragon Slayer,video-games,1
499,"Christopher Greenfield is the creator of the RuneScape game.
",False,False,True,,,video-games,1
500,"The creator of RuneScape was helped by his cousin in developing the game.
",True,False,True,,,video-games,1
501,"Is is true that in RuneScape, the Corporeal Beast is level 311, the highest level?
",No,Yes,No,,,video-games,1
502,"Which of the following is not a place in RuneScape?
",Duel Wars,Bounty Hunter,Duel Wars,Castle Wars,Clan Wars,video-games,1
503,"Name the female character and one of the four survivors in LFD1.
",Zoey,Marylin,Zoey,Roxanne,Mimi,video-games,1
504,"What is the main difference between LFD1 and LFD2 in regard to use of weapons?
",In LFD1 there are no melee weapons like the ax or the machete.,In LFD2 you can use a flame thrower.,In LFD1 there are no melee weapons like the ax or the machete.,In LFD1 there are no pipe bombs.,In LFD2 you can throw hand grenades.,video-games,1
505,"Setting off a car alarm scares off the zombies in LFD.
",False,True,False,,,video-games,1
506,"A pipe bomb is an ideal weapon to destroy LFD zombies because it is a silent weapon and they wont hear it when you throw it among a group of them.
",False,False,True,,,video-games,1
507,"Unlike in other video or PC games you cannot save a game in LFD and then come back later to play it from where you left off.
",True,True,False,,,video-games,1
508,"Name the fictional government agency or organization that was supposed to fight the infection and evacuate people from infected areas in LFD.
",CEDA,CEDA,UNSC,PETA,USAA,video-games,1
509,"In LFD2 the Parish campaign takes place in this city.
",New Orleans,Savannah,Miami,Atlanta,New Orleans,video-games,1
510,"What is the name of fictional band featured in LFD2?
",The Midnight Riders,The Runarounds,The Rockabillies,Stagnant Water,The Midnight Riders,video-games,1
511,"What pestilence or disease caused people to turn into zombies and deformed some of them into super mutants in LFD?
",The green flu,Swines disease,The mutant virus,Nuclear malaria,The green flu,video-games,1
512,"What is the name of the race car driver encountered in the Dead Center campaign of LFD2?
",Jimmy Gibbs Jr.,Hank Buffet,Speedy Weedy,Jimmy Gibbs Jr.,Herb Gonzales,video-games,1
513,"In LFD1 the achievement known as Do Not Disturb is awarded for which of the following?
",Sneaking past all Witches in a campaign without disturbing one,Not interrupting a fellow survivor when he is busy shooting at one of the zombies,Not waking up your fellow survivors while they are sleeping in the safehouse,Not disturbing a zombie while its eating someone,Sneaking past all Witches in a campaign without disturbing one,video-games,1
514,"In LFD2 the achievement known as the CHAIN OF COMMAND is awarded for which of the following?
",Killing 100 Common Infected with the chainsaw,Tying up one of the special infected with some chain,Using a chainsaw to cut through some dense brush,Killing 100 Common Infected with the chainsaw,Whipping one of the zombies with a piece of chain,video-games,1
515,"You can add more maps and campaigns in LFD1 and LFD2.
",True,False,True,,,video-games,1
516,"In both LFD1 and LFD2, accumulating more cash than the other survivors will give you an advantage.
",False,True,False,,,video-games,1
517,"What unique Zord do the Time Force Rangers have?
",Time Shadow,Time Shadow,Last Time,Time Knight,Dark Time,video-games,1
518,"Zelda, featured in The Legend of Zelda series of video games, is what kind of character?
",The princess,The main villain,The old lady,The princess,The elfin hero,video-games,1
519,"What is the currency used in the Legend of Zelda video game series?
",Rupees,Coins,Triangles,Rings,Rupees,video-games,1
520,"Which of these is not a race featured in the Legend of Zelda video games?
",Hobbit,Zora,Hylian,Hobbit,Rito,video-games,1
521,"Which of these items is always in Links arsenal in the Legend of Zelda games?
",Boomerang,Boomerang,Wand of Gamelon,Hookshot,Magic cape,video-games,1
522,"In The Legend of Zelda series of video games Zelda possesses which piece of the Triforce?
",Wisdom,Power,Wisdom,All of them,Courage,video-games,1
523,"Is there a game called Super Mario Tennis?
",No,Yes,No,,,video-games,1
524,"There are Mario games featuring racing, baseball, soccer, tennis, and golf.
",True,False,True,,,video-games,1
525,"Which of the following characters is NOT a sidekick in Super Mario Strikers?
",Paratroopa,Paratroopa,Birdo,Toad,Hammer bros.,video-games,1
526,"In Mario Superstar Baseball what do you have to you use to unleash your characters super pitch?
",A star,A heart,A fire flower,A star,A credit,video-games,1
527,"In Mario Kart, characters are classified as either heavy or light.
",False,True,False,,,video-games,1
528,"What is Luigis power shot in Mario Power Tennis?
",A hammer,He sucks the ball with a vacuum.,He jumps really high and slams the ball.,A hammer,A super big tennis racket,video-games,1
529,"In Mario Power Tennis, Bowsers racket has spikes on it.
",True,True,False,,,video-games,1
530,"What is the most basic court in Mario Power Tennis?
",Peach Dome,Mario Mansion,Peach Palace,Peach Dome,Mario Yard,video-games,1
531,"Sonic the Hedgehog is the protagonist of a video game, released by Nintendo.
",False,True,False,,,video-games,1
532,"Which one of these game systems was released by Nintendo?
",snes,Playstation,None of these,snes,Xbox,video-games,1
533,"Does Nintendos mascot Mario wear a red and black hat?
",No,No,Yes,,,video-games,1
534,"Is it true that Kirby, the protagonist of the Kirby game series, is pink?
",Yes,No,Yes,,,video-games,1
535,"Captain Falcon, from the F-Zero video games, is a pirate.
",False,True,False,,,video-games,1
536,"Which of these games was not released by Nintendo?
",Assassins Creed,Warioware,Mario Galaxy,Assassins Creed,Star Fox,video-games,1
537,"Which Super Smash Bros. Melee character can be unlocked by defeating the 10-minute melee?
",Falco,Falco,Jigglypuff,Roy,Mr. Game and Watch,video-games,1
538,"Which character in Super Smash Bros. Melee can be unlocked by beating the game with every character?
",Mr. Game and Watch,Luigi,Falco,Mr. Game and Watch,Roy,video-games,1
539,"Which character in Super Smash Bros. Melee did not have a grapple ability?
",Zelda,Zelda,Young Link,Link,Samus,video-games,1
540,"Which Pokemon character in Super Smash Bros. Melee damages itself by using its B button moves?
",Pichu,Mewtwo,Jigglypuff,Pichu,Pikachu,video-games,1
541,"Which character in Super Smash Bros. Melee is the final boss of the normal game (Classic Mode)?
",Master Hand,Poorly Coordinated Hand,Crazy Hand,Master Hand,Power Hand,video-games,1
542,"Which character in Super Smash Bros. Melee could jump more than once in midair?
",Kirby,Peach,Meta Knight,Kirby,Yoshi,video-games,1
543,"Which character in Super Smash Bros. Melee is unlocked by beating the game with a character from the same game?
",Roy,Falco,Mewtwo,Roy,Captain Falcon,video-games,1
544,"Which character in Super Smash Bros. Melee had the ability to pick up other characters and walk with them?
",Donkey Kong,Ganondorf,Donkey Kong,Bowser,Mario,video-games,1
545,"Which of the following game series featured the most Super Smash Bros. Melee characters?
",Mario,Zelda,Mario,Star Fox,Pokemon,video-games,1
546,"Which character in Super Smash Bros. Melee does not have a saving Up B button move?
",Yoshi,Yoshi,Bowser,Dr. Mario,Peach,video-games,1
547,"What is the name of the main character in the 2006 third-person shooter Gears of War?
",Marcus Fenix,Marcus Fenix,Lt. Kim,Dominic Santiago,Baird,video-games,1
548,"In video game Gears of War, these creatures let loose loud piercing shrieks when they attack but are generally easy to kill.
",Wretches,Wretches,Drones,Corpsers,Theron Guards,video-games,1
549,"In Gears of War, if you stay in the dark and walk slowly, the mutant race Kryll wont attack you.
",False,False,True,,,video-games,1
550,"In Gears of War, which of these creatures is blind, walks upright and hunts by smell?
",Berserker,Drone,Corpser,Berserker,Wretch,video-games,1
551,"In the third-person shooter Gears of War, can you kill the Corpser in the Locust tunnels by using the Hammer of Dawn?
",No,Yes,No,,,video-games,1
552,"What is the name of the Colonel who is in command according to the scenarios in Gears of War?
",Hoffman,Raam,Cole,Hoffman,Santiago,video-games,1
553,"In the Gears of War game, which member of Alpha Team is first found fighting in a small courtyard, alone and taunting the Locust?
",Cole,Cole,Baird,Rojas,Kim,video-games,1
554,"Which difficulty setting can only be unlocked by completing Gears of War once on any difficulty?
",Insane,Normal,Casual,Insane,Hardcore,video-games,1
555,"General RAAM is protected by the mutant race Kryll when you try to kill him on the train at the end of Gears of War.
",True,True,False,,,video-games,1
556,"Which of these dragons is the strongest in the Runescape game?
",Black Dragon,Red Dragon,Blue Dragon,Black Dragon,Green Dragon,video-games,1
557,"Which of these Runescape creatures drops a Dragon 2H Sword?
",Chaos Elemental,Mithral Dragon,King Black Dragon,Chaos Elemental,Calphite Queen,video-games,1
558,"What is the name of the city in Runescape that you unlock after the Lost City Quest?
",Zanaris,Falador,Zanaris,Catherbys,Camalot,video-games,1
559,"Which of these is the postal service in Runescape?
",RPDT,NYER,LPOG,LAPD,RPDT,video-games,1
560,"In the Runescape game you get a fishing skillcape in the Legends Guild.
",False,True,False,,,video-games,1
561,"How many forms does the Calphite Queen have in the game Runescape?
",2,5,4,2,3,video-games,1
562,"Which of these pets can you own in Runescape?
",Kitten,Hamster,Kitten,Dog,Bird,video-games,1
563,"You can own a pet rock in the Runescape game.
",True,True,False,,,video-games,1
564,"In the action/adventure game Killer7, the name of the assassin who can change between seven deadly personalities is Harman Smith.
",True,False,True,,,video-games,1
565,"Which persona from the Killer7 game is the one with the Scope on his/her Automatic?
",Kaede,Harman,Con,Dan,Kaede,video-games,1
566,"In Killer7, what is the character Con Smithsâ€™ age?
",14,17,14,It is not stated.,25,video-games,1
567,"Which voice-over actress, who has also done voices for Nickelodeon, is the voice of Kaede in Killer7?
",Tara Strong,Debby Derryberry,Tara Strong,Lacey Chabert,E.G Daily,video-games,1
568,"What is the name of character Iwazarus ex-wife in the action/adventure game Killer7?
",Mizaru,Mizaru,None of the above,Mizaro,Mizari,video-games,1
569,"In the game Killer7, what is the name of Harmans maid?
",Samantha,Susan,Suzie,Polly,Samantha,video-games,1
570,"The only time you can use the save feature in Killer7 is when character Samantha is in what costume?
",Maid uniform,Tight black overall,Normal clothing,Evening gown,Maid uniform,video-games,1
571,"What was Mask De Smithâ€™s profession before coming apart of the killersâ€™ team in Killer7?
",Professional wrestler,Costume artist,Professional boxer,Bodyguard,Professional wrestler,video-games,1
572,"In the action/adventure Killer7, who is the only informant able to contact the Killer7 team?
",Christopher Mills,Kun Lan,Christopher Mills,Heaven Smile,Travis,video-games,1
573,"Besides your Avatar, what other characters can you get at the beginning of the game Baldurs Gate II: Shadows of Amn?
","Imoen, Jahiera, Minsc","Imoen, Jahiera, Minsc","Aerie, Jahiera, Jan","Khalid, Jahiera, Minsc","Valygar, Jahiera, Minsc",video-games,1
574,"Where can you get the gauntlets of ogre power in the game Baldurs Gate II: Shadows of Amn?
",The Planar Sphere,The Shadow thieves cellar,The Temple ruins,The Planar prison,The Planar Sphere,video-games,1
575,"What ranger can you save in the game Baldurs Gate II: Shadows of Amn by defeating the Shadow lord in the ruin temple?
",Merella,Merella,Valygar,Minsc,Drizzt,video-games,1
576,"What organization takes Imoen from you, after you escape the first level in the game Baldurs Gate II: Shadows of Amn?
",The Cowled Wizards,The Athkatla Guard,The Emerald warriors,The Shadow Thieves,The Cowled Wizards,video-games,1
577,"Who kidnaps Nalia in the game Baldurs Gate II: Shadows of Amn?
",Isaea Roenal,Isaea Roenal,Jon Irenicus,Corieg Axehand,Stumpy Ironfoot,video-games,1
578,"In the 2007 RuneScape Easter special, what item or items do you earn by helping the Easter bunny?
",A chicken suit,An egg that you eat that brings you up one level,A chicken suit,A bunny suit,A ring that transforms you into an egg,video-games,1
579,"What two special benefits do RuneScape members get?
",special tree logs and special locations,rainbow boots and fighting boots,special money and no extra lands,special tree logs and special locations,you can kill demons and go to the barbarian village,video-games,1
580,"In the RuneScape game, it is illegal to use a macroer.
",True,True,False,,,video-games,1
581,"In the RuneScape game, the woodcutting skillcape lets you save a bird from a tree.
",True,False,True,,,video-games,1
582,"On a non-member world in RuneScape, how many places can you travel to on the ship in Port Sarim?
",1,3,6,1,4,video-games,1
583,"What animal is Santa on the 2005 RuneScape Christmas special?
",wolf,polar bear,wolf,reindeer,penguin,video-games,1
584,"What is the name of the dog the main character is trying to save in the Dogs Life video game?
",Daisy,Butter,Jesse,Daisy,Katie,video-games,1
585,"What changes on the dog every time you go to a different Poodle Parlour in the video game Dogs Life?
",his collar,his attitude,the markings on his coat,his collar,his leash,video-games,1
586,"At what location do you first have to run away from the dog catcher in the Dogs Life video game?
",Village center,Boom City Park,Lake Minniwahwah Cafe,Village center,Farmhouse,video-games,1
587,"When you pick up scents in the game Dogs Life, which of the following is not part of a competition with another dog?
",Barking competition,Marking territory,Barking competition,Digging holes,Doing tricks,video-games,1
588,"What are the names of Miss Peaches henchmen in the Dogs Life game?
",Wayne and Dwayne,Wayne and Dwayne,Bob and Rob,Ryan and Bryan,John and Ron,video-games,1
589,"In the Dogs Life video game, what challenge do the purple scents start?
",Collect them all before time runs out,Obtain more territory than the other dog,Dig holes faster than the other dog,Collect them all before time runs out,Get all the food before the other dog does,video-games,1
590,"What improves your speed, stamina, and health in the game Dogs Life?
",bones,bones,washing,people,collars,video-games,1
591,"Which of the following is NOT found at the grooming parlour in the video game Dogs Life?
",shaver,scissors,shower head,shaver,a sponge,video-games,1
592,"How many places can you go to by train in the Dogs Life game?
",3,3,5,50,7,video-games,1
593,"What is the name of the radio show in the game Dogs Life?
",The Loud Brothers Live,Lake Minniwahah Chat,Miss Peaches Radio Show,"Blues, Smooths, and Clues Live",The Loud Brothers Live,video-games,1
594,"What button do you press to dig in Dogs Life (PS2)?
",Circle,Cross,Square,Triangle,Circle,video-games,1
595,"What color is Miss Peaches hair in the video game Dogs Life?
",Orange,Orange,Brown,Blonde,Black,video-games,1
596,"Where is the Lucky 7s Machine located in the game Dogs Life?
",Lake Minniwahwah Cafe,Lake Minniwahwah Slopes,Lake Minniwahwah Hotel,Lake Minniwahwah Mountain Top,Lake Minniwahwah Cafe,video-games,1
597,"In the Dogs Life video game, what is the name of the group of bandits at Boom City?
",The Sleeping Bandits,The Sleeping Bandits,The Danger Bandits,The Ruthless Bandits,The Masked Bandits,video-games,1
598,"What color is the jacket the girl wants you to get from the ski slopes in the video game Dogs Life?
",yellow,black,white,yellow,red,video-games,1
599,"In the Dogs Life video game, what does the girl NOT ask you to bring to make her snowman?
",a scarf,a scarf,a hat,twigs,coal,video-games,1
