,Questions,Correct,A,B,C,D,Category
584,"Which one of the following languages is not in the same language family as the others?
",Finnish,Russian,English,Farsi (the language spoken in Iran),Finnish,humanities
585,"Which of the following languages is a highly inflected language?
",Russian,Mandarin,Japanese,English,Russian,humanities
586,"Sentence structure can be described in the following way: S=Subject. O=Object. V=Verb. There are 6 possible sentence structures: SVO (as English is), SOV (as German is), OSV, OVS, VSO, and VOS. Of these 6 possible sentence structures, which one has never been found to exist?
",None of these. All 6 have been found.,OVS,None of these. All 6 have been found.,OSV,VOS,humanities
587,"The word gargantuan is an eponym derived from a character, depicted by this 16th century French author.
",FranÃ§ois Rabelais,"Alexander Dumas, pÃ¨re",HonorÃ© de Balzac,Victor Hugo,FranÃ§ois Rabelais,humanities
588,"The term Quizling, which means a traitor, is derived from the name of Vidkun Quisling, who assisted Nazi Germany while serving as Minister-President of this country.
",Norway,Poland,Norway,Finland,Austria,humanities
589,"The name of the famous womanizer Giacomo Casanova has become synonymous with the art of seduction. Who wrote the book Histoire de ma vie which covers part of Casanovas life?
",Giacomo Casanova,Alexandre Dumas,Gustave Flaubert,Tirso de Molina,Giacomo Casanova,humanities
590,"Which of these musical instruments was named after a person?
",saxophone,saxophone,All of these,piano,clarinet,humanities
591,"What Ancient Greek lyric poet was born on the island of Lesbos from which the term lesbian is derived?
",Sappho,Herodas,Sappho,Euripides,Homer,humanities
592,"The word shylock, which refers to a ruthless moneylender, is derived from the name of a character appearing in what Shakespearean play?
",The Merchant of Venice,The Two Gentlemen of Verona,Measure for Measure,King Lear,The Merchant of Venice,humanities
593,"The phrase Herculean task, meaning a difficult task that requires great effort, originates from the stories of the Twelve Labors of the divine hero Hercules. Which of these is not one of the labors Hercules had to perform?
",Take fire from Mount Olympus,Clean the Augean stables in a single day,Take fire from Mount Olympus,Capture Cerberus,Slay the 9-headed Hydra,humanities
594,"The modern sandwich is possibly named after the 4th Earl of Sandwich, who allegedly ordered his servant to bring him meat tucked between two pieces of bread, as he was unwilling to leave this activity.
",gambling,playing chess,gambling,shooting birds,reading,humanities
595,"What is the origin of the word maverick, which refers for a person of independent views?
","It is derived from the name of Samuel Maverick, a Texan who lived in the 19th century.","It is derived from the name of a guitar, called Fender Maverick.","It is derived from the name of The Mavericks, a country music band.","It is derived from the name of Samuel Maverick, a Texan who lived in the 19th century.",It is derived from the western TV series Maverick.,humanities
596,"Which of these weapons, named after people, is colloquially known as The Gun That Won the West?
",Winchester rifle,Shrapnel shell,Kalashnikov,Gatling gun,Winchester rifle,humanities
597,"Yogic postures are know as this.
",Asanas,Mantra,Tantra,Asanas,Mudra,humanities
598,"Yoga originates from this country.
",India,India,Russia,Egypt,China,humanities
599,"The breathing exercises, pranayama help with this.
",All of the above,Calming you down,Refreshing you,Revitalizing your body,All of the above,humanities
600,"Yoga literally means this.
",Union,Lifting,Union,Exercise,Creation,humanities
601,"Each Yoga path is suited to a different temperament or approach to life.  How many different main paths are there in Yoga?
",4,1,3,4,2,humanities
602,"Bhakti Yoga is the path of this.
",Devotion or Divine Love,Action,Physical Control,Devotion or Divine Love,Wisdom,humanities
603,"That which enters the body is called Prana and that which leaves it is called Apana.  What does Prana mean?
",Life force,Light,Life force,Air,Body,humanities
604,"Which of these is a principle of Yoga
",All of the above,All of the above,Positive Thinking and  Meditation,"Proper Diet, Proper Relaxation",Proper Exercise,humanities
605,"Although in western culture she is known for the Dance of the Seven Veils, the Bible only says she danced for Herod. Her dancing pleased Herod so much that he promised her anything she wanted. What famous dancer asked for the head of John the Baptist?
",Salome,Salome,Judith,Jezebel,Bathsheba,humanities
606,"Considered by many to be one of the greatest American dancers, this Kirov Ballet dancer defected while touring in Canada in 1974. He became the Principle Dancer for the American Ballet Theatre. Which dancer played Carrie Bradshaws Russian boyfriend in Sex in the City?
",Mikhail Baryshnikov,Nijinsky,Alexander Gudunov,Rudolf Nureyev,Mikhail Baryshnikov,humanities
607,"Blue jean baby, LA lady, seamstress for the band is the beginning line in this Elton John song. Who is the Ballerina, you must have seen dancing in the sand?
",Tiny Dancer,Tiny Dancer,Suszanne,Billie Jean,Dancing Queen,humanities
608,"This American woman is often called the Mother of Modern Dance. She was a hit in Europe but many Americans disapproved of her life style and politics. Whose last words were reported to be Goodbye my friends, I am off to glory.
",Isadora Duncan,Ruth Page,Twyla Tharp,Ruth St. Denis,Isadora Duncan,humanities
609,"What is the name of the dancer described in the following lyrics?
", would dance for you , worn out shoes,"th silver hair, a ragged shirt, and baggy pants",e old soft shoe," jumped so high, jumped so high",humanities
610,"She was the prima ballerina for the New York City Ballet from 1947 to 1960. She was married to George Balanchine, one of the greatest ballet choreographers of the 20th century, who wrote some of his most famous works for her. What famous ballerina danced Balanchines The Firebird and originated the role of the Sugar Plum Fairy in Balanchines The Nutcracker?
",Marie Tallchief,Heather Watts,Marie Tallchief,Agnes de Millie,Suzzane Farrell,humanities
611,"She came out strutting wearing only a button and a bow. But it was the grand finale that got the audience every time. She did a triple somersault and when she hit the ground, she winked at the audience and then she turned around. Who had a tattoo of a cowboy pictured on her spine that said Phoenix,  Arizona 1949?
",Little Egypt,Gypsy Rose Lee,Sally Rand,Little Miss Firecracker,Little Egypt,humanities
612,"What is the name of the dwelling place of the Norse gods?
",Asgard,Olympia,Atlantis,Asgard,Valhalla,humanities
613,"In Norse mythology, what kind of animals are Odins two companions that kept him informed of various events?
",ravens,eagles,wolves,ravens,bears,humanities
614,"What is Bifrost in North mythology?
",the rainbow bridge that leads to Asgard,the rainbow bridge that leads to Asgard,the serpent that kills Thor at Ragnarok,Odins great hall for fallen warriors,the wolf that kills Odin at Ragnarok,humanities
615,"The word Friday is derived from Frigg, the Norse goddess who was wife of Odin.
",True,True,False,,,humanities
616,"The main difference between Norse gods and gods of other cultures is that Norse gods are not immortal.
",True,True,False,,,humanities
617,"What does the Latin word spiro mean?
",Breathe,"Ghost, soul",Set on fire,Alcohol,Breathe,humanities
618,"What is the translation of the Latin saying Finis vitae sed non amoris?
",The end of life is not the end of love.,The end of life is not the end of love.,There is no life without love.,There is life even after there is no more love.,There is no love at the end of life.,humanities
619,"What does the Latin word bellum mean?
",War,Chime,Stomach,War,Beauty,humanities
620,"What is the meaning of the proverb Aquila non captat muscas?
",The eagle doesnt capture flies.,The wolf doesnt capture mouses.,The eagle doesnt capture flies.,The eagle gathers no moss.,Mouses are hard to catch even for a strong man.,humanities
621,"What does the word lupus mean?
",Wolf,Monster,Eagle,Bear,Wolf,humanities
622,"What does the Latin word felicitas mean?
",Happiness,Happiness,Oral,Emotion,Cat,humanities
623,"What is the translation of the saying Cui peccare licet peccat minus?
","One who is allowed to sin, sins less.",If you dont watch out you wont go far.,"One who is allowed to sin, sins less.","When one tries to harm others, he harms himself.","The less one knows, the better off they are.",humanities
624,"What does the Latin word copia mean?
",Abundance,Abundance,Copper,Spear,Replicate,humanities
625,"What does the Latin word nemo mean?
",Nobody,Nobody,Him,Man,Name,humanities
626,"What does the Latin phrase Dum spiro spero mean?
","While I breathe, I hope.",This is the spirit of hope.,Hope comes when you take a breath.,"While I breathe, I hope.",I hope my soul will live on.,humanities
627,"According to the legends, how many dogs did Artemis take with her while hunting?
",7,9,2,8,7,humanities
628,"The palm tree was sacred for Artemis because it is connected with her and her twin brother Apollos birth.
",True,False,True,,,humanities
629,"According to legends why did Artemis transform the hunter Actaeon into a stag?
",Because he spied her when she bathed and saw her naked.,Because he stole her bow.,Because he killed Artemis stag.,Because he refused to build her a temple.,Because he spied her when she bathed and saw her naked.,humanities
630,"The Temple of Artemis is one of Worlds Seven Wonders. Where is it located?
",Ephesus,Ephesus,Turkey,Sparta,Athens,humanities
631,"What is the meaning of goddess Artemis title Elaphebolus?
",Deer shooting,The virgin,Deer shooting,Queen of the beasts,The hunter,humanities
632,"Was Aeginaea the name given to Artemis by her worshippers in Sparta?
",Yes,Yes,No,,,humanities
633,"Which one of these names was given to Artemis by her worshipers in Athens?
",Agrotera,Apanchomene,Agrotera,Aetole,Aeginaea,humanities
634,"What did the archaic term strumpet refer to?
",A prostitute,A prostitute,An alcoholic beverage,A breed of dog now extinct,A musical instrument,humanities
635,"What does the word sylvan mean as an adjective?
",Of or pertaining to the woods,Civil in manner and speech,Sleek or glossy in appearance,That which has a silver color,Of or pertaining to the woods,humanities
636,"What does the term wench refer to?
",A young peasant girl,A medieval tool used for drilling holes in wood,A wrench used in medieval times,A slab or piece of wood used in constructing a house,A young peasant girl,humanities
637,"What did the archaic term prithee mean?
",An interjection used to express a polite request,An interjection used to express a polite request,A phallic symbol,A toilet,To predict something,humanities
638,"Which of these words is an adverb meaning away?
",avaunt,avaunt,hark,fie,avast,humanities
639,"What did the name Albion refer to?
",Great Britain,the planet Venus,Great Britain,Greenland,purgatory,humanities
640,"What did the term phlogiston originally refer to?
",None of these,A herb used to alleviate fevers by the ancient Greeks,An instrument of torture and interrogation used by the ancient Greeks,A type of wheel used on Roman chariots,None of these,humanities
641,"What did the archaic adjective anile mean?
",Of or like a senile old woman,Of or like a fox,None of these,Originating or from the Nile river,Of or like a senile old woman,humanities
642,"What is the meaning of the archaic word betwixt?
",Between,Rejected,Between,Dumbfounded or bewildered,Bewitched,humanities
643,"The archaic term puissant meant weak or wimpy.
",False,True,False,,,humanities
644,"What is the missing word in the popular saying: All is fair in love and ...?
",War,Politics,Care,Hatred,War,humanities
645,"Finish the popular proverb: A good example is the best ....
",Sermon,Advice,Teacher,Sermon,Favor,humanities
646,"What is the missing word in the popular proverb Dogs of the same street ... alike?
",Bark,Smell,Bark,Bite,Eat,humanities
647,"What is the missing first word in the popular saying ... is the father of wisdom?
",Experience,Experience,Pain,Time,Patience,humanities
648,"What is the missing part from the popular saying, ... are not made by sitting in the shade?
",Gardens,Big castles,Great things,Gardens,Biggest victories,humanities
649,"Finish the popular proverb: Necessity is the mother of ....
",Invention,Hunger,Hard work,Robbery,Invention,humanities
650,"What is the meaning of the popular saying, One good turn deserves another?
",Always return a favor.,If youve started something good its very hard to stop.,"If youve been lucky, try your luck once again.","If you enjoy something, dont stop doing it.",Always return a favor.,humanities
651,"How does the popular saying end: Pride comes before ...?
",A fall,You can feel it,Troubles,Wisdom,A fall,humanities
652,"What is the meaning of the popular proverb, Stolen fruit is the sweetest?
",One craves things that are forbidden.,The best things in life are free.,Anything is good as long as its free.,One craves things that are forbidden.,One appreciates things they havent paid for.,humanities
653,"What is the missing part from the popular saying, ... often gives a small thing a big shadow?
",Worry,Artificial light,Retelling a story,Worry,The sun,humanities
654,"What popular proverb does this refer to: A disposition towards inquiry deprived the feline of its vital state?
",Curiosity killed the cat,Dead men tell no tales,All cats are grey in the dark,Curiosity killed the cat,A cat has nine lives,humanities
655,"What popular saying could this be: There is illumination at the termination of the subterranean excavation?
",Theres a light at the end of the tunnel,Failure teaches success,It is always darkest before the dawn,Theres a light at the end of the tunnel,He who plays with fire gets burnt,humanities
656,"What popular proverb is hidden behind these words: The stylus is more potent than the claymore?
",The pen is mightier than the sword.,The pen is mightier than the sword.,Many hands make light work.,"Men make houses, women make homes.",Knowledge in youth is wisdom in age.,humanities
657,"What proverb could this refer to: Elementary sartorial techniques initially applied obviate the need for repetitive similar actions to the square of three?
",A stitch in time saves nine,A stitch in time saves nine,Look before you leap,Least said soonest mended,"Marry in haste, repent at leisure",humanities
658,"Which of these popular proverbs means the opposite of Silence is golden?
",The squeaky wheel gets the grease,The squeaky wheel gets the grease,Loose lips sink ships,Walls have ears,"Saying is one thing, doing is another",humanities
659,"Which of these proverbs the reverse of  Wise men think alike?
",Fools seldom differ,Fools seldom differ,An idle brain is the devils workshop,Birds of a feather flock together,There is a black sheep in every flock,humanities
660,"What saying is the opposite of Good things come in small packages?
",The bigger the better,The bigger the better,An empty purse frightens away friends,Half a loaf is better than none,All that glitters is not gold,humanities
661,"What is the missing word in the popular proverb, If you chase two ____  you will not catch either one?
",Rabbits,Deers,Rabbits,Tigers,Colds,humanities
662,"How does the popular proverb end: When the cats away, the mice ___ ?
",Play,Disobey,Play,Run astray,Get drunk,humanities
663,"What is the missing from the popular saying, One mans trash is another mans ...?
",Treasure,Joy,Gulash,Monster Bash,Treasure,humanities
664,"Which were the two authors of the 1955 Broadway play Inherit the Wind?
",Jerome Lawrence and Robert E. Lee,Jerome Lawrence and Robert E. Lee,Jerome Robbins and Robert E. Lee,Jerome Lawrence and Oliver Grant,Jerome Robbins and Oliver Grant,humanities
665,"Who wrote the screenplay for the 1960 Hollywood film Inherit the Wind?
",Nathan E. Douglas and Harold Jacob Smith,Nedrick Young and Billy Rose,Nathan E. Douglas and Harold Jacob Smith,Jerome Robbins and Harry Selrig,Harold Baines and John R. Diefenbach,humanities
666,"Where does the title of the play Inherit the Wind come from?
","The Bible, the Book of Proverbs","The Bible, the Book of Psalms","The Bible, the Book of Proverbs","The Bible, the Book of Job",Shakespeares The Tempest,humanities
667,"The story in the 1955 Broadway play Inherit the Wind is a fictionalized version of what famous event in US history?
",The 1925 Scopes trial,The 1945 Billy Mitchell trial,The 1915 Sacco and Vanzetti trial,The 1935 Roe vs Wade trial,The 1925 Scopes trial,humanities
668,"Who played Henry Drummond in the 1960 movie Inherit the Wind?
",Spencer Tracy,Harry Morgan,E.G. Marshall,Spencer Tracy,Gene Kelly,humanities
669,"In the real-life events on which the 1960 Broadway play Inherit the Wind was based, the defense lawyer was able to take the case pro bono because he made his money defending another client. Who was this rich client?
",Al Capone,Billy Mitchell,Al Capone,Roscoe Fatty  Arbuckle,Charlie Chaplain,humanities
670,"Who plays Mathew Harrison Brady in the 1960 movie Inherit the Wind?
",Frederick March,Frederick March,Gene Kelly,Harry Morgan,Dick York,humanities
671,"Who plays E.K. Hornbeck in the 1960 movie Inherit the Wind?
",Gene Kelly,"Noah Beery, Jr.",Gene Kelly,Frederick March,Harry Morgan,humanities
672,"Which actor portrays the defendant Benjamin T. Cates in the 1960 movie Inherit the Wind?
",Dick York,"Noah Beery, Jr.",Dick York,Gene Kelly,Harry Morgan,humanities
673,"Who produced and directed the movie Inherit the Wind?
",Stanley Kramer,Cosmo Kramer,Stanley Kramer,Billy Budd,Billy Rose,humanities
674,"Who did the color cinematography for the 1960 movie Inherit the Wind?
",No one,Warren Hoffman,Jimmy Boyd Smith,John Tomlinson,No one,humanities
675,"The real-life defendant, whose story was featured in the 1960 movie Inherit the Wind, spent his whole life in Dayton, Tennessee.
",False,False,True,,,humanities
676,"Tony Randall appeared in the 1955 Broadway play Inherit the Wind.
",True,False,True,,,humanities
677,"Who starred as the defense lawyer in the premiere of the 1955 Broadway play Inherit the Wind?
",Paul Muni,John Gleason,Paul Muni,Frderick March,Henry Fonda,humanities
678,"In the premiere of the 1955 Broadway play Inherit the Wind, who played the role of the prosecutor?
",Ed Begley,Henry Fonda,Ed Begley,Jack Warden,John Cameron Swayze,humanities
679,"The play Inherit the Wind was written almost five years before its opening. Why did it take so long to get the play produced?
",Fear of the McCarthy HUAC hearings,The Great Depression hurt Broadway producers.,The public did not want a play about abortions.,The public did not want a play about Sacco and Vanzetti.,Fear of the McCarthy HUAC hearings,humanities
680,"Which actor won a 1988 Emmy for his portrayal of the defense lawyer in one of the TV versions of the 1955 play Inherit the Wind?
","Jason Robards, Jr.",Kirk Douglas,"Jason Robards, Jr.",George C. Scott,Jack Lemmon,humanities
681,"The word goblin is probably derived from a Latin word which means what?
",Rogue,Ugly,Devil,Evil,Rogue,humanities
682,"Goblins are considered to be a type of fairy folk.
",True,True,False,,,humanities
683,"It is believed that the goblin legend began in what European country?
",France,Ireland,Germany,France,England,humanities
684,"Which of these statements about goblins is NOT true according to legend?
",Goblins love horse meat.,Goblins love to play pranks.,Goblins are almost an entirely male race.,Goblins steal women and children.,Goblins love horse meat.,humanities
685,"It is a very old tradition to portray goblins green.
",False,True,False,,,humanities
686,"Goblin babies are known as changelings.
",True,True,False,,,humanities
687,"The Green Goblin is the arch enemy of which Marvel Superhero?
",Spider-man,Captain America,Iron-man,The Hulk,Spider-man,humanities
688,"What was Sigmund Freuds major at the University of Vienna?
",Medicine,Law,Geography,Zoology,Medicine,humanities
689,"What phobia did Sigmund Freud develop in his forties?
",Fear of death,Fear of spiders,Fear of death,Fear of nightmares,Fear of heights,humanities
690,"What was the reason for the fallout between Sigmund Freud and Carl Jung, who was initially a supporter of Freud?
",Freud found some of Jungs ideas unscientific.,All of these,They fought over a woman.,Jung poked fun at Freuds ideas about dreams.,Freud found some of Jungs ideas unscientific.,humanities
691,"Sigmund Freud, who was a heavy cigar smoker, developed this disease.
",Oral cancer,Oral cancer,Lung cancer,Stroke,Heart attack,humanities
692,"Sigmund Freud used this drug and prescribed it to his patients as an analgesic and antidepressant.
",Cocaine,Cocaine,All of these,Marijuana,Heroine,humanities
693,"Which of these historical figures was a patient of Sigmund Freud?
",All of these,Emma Eckstein,All of these,Gustav Mahler,Princess Marie Bonaparte,humanities
694,"What are the two contradictory desires that drive every human being according to Sigmund Freud?
",Life and death,Love and hatred,Good and evil,Hunger and thirst,Life and death,humanities
695,"What part of the human psyche contains the child-like drives and desires according to Sigmund Freud?
",Id,Ego,Super-ego,All of these,Id,humanities
696,"Which of these therapies did Sigmund Freud start using to resolve psychological problems?
",Talk therapy,Talk therapy,Drawing therapy,Music therapy,Sleep therapy,humanities
697,"How did Sigmund Freud choose to die, with the assistance of his doctor and friend Max Schur?
",By a lethal dose of morphine,By poisoning,By suffocation,By a lethal dose of morphine,By a gunshot,humanities
698,"What name was used to refer to Leonardos famous painting before it was known as Mona Lisa?
",A Certain Florentine Lady,A Lady from Florence,Madam Florentine,Madam Lisa,A Certain Florentine Lady,humanities
699,"What was the Mona Lisa painting called when it was in the collection at the palace at Fontainebleau?
",A courtesan in a gauze veil,Madam Lisa Gioconda,Wife of a wealthy Florentine,A courtesan in a gauze veil,The Mona Lisa,humanities
700,"The Mona Lisa is not painted on a canvas.
",True,False,True,,,humanities
701,"Which of these is not among the theories about who is portrayed in the Mona Lisa painting?
",The mistress of Leonardos close friend,The portrait is an idealization of all womanhood.,The portrait is an invention of Leonardos imagination,A young man in drag,The mistress of Leonardos close friend,humanities
702,"Which of these artists is known to have become fascinated with the Mona Lisa painting?
",Raphael,Michelangelo,Berrettini,Luciani,Raphael,humanities
703,"Who gave the Mona Lisa painting its name?
",Giorgio Vasari,Lisa Giocondo,King Francois I,Giorgio Vasari,Leonardo Da Vinci,humanities
704,"Which King hated the Mona Lisa painting so much, that he had it removed from his palace?
",King Louis XV,King Louis XIV,Napoleon,King Francois I,King Louis XV,humanities
705,"When Mona Lisa was stolen in 1911, Picasso was among the suspects.
",True,True,False,,,humanities
706,"What sentence was Vincenzo Perugia given for stealing the Mona Lisa painting in 1911?
",7 months,1 year,7 years,10 years,7 months,humanities
707,"How long did it take Leonardo Da Vinci to finish the Mona Lisa painting?
",4 years,1 year,6 months,3 years,4 years,humanities
708,"What does the German word Bibliothek mean when translated into English?
",Library,Library,Bookworm,Its not a real word.,Bible,humanities
709,"What does the Spanish Word lechuga mean in English?
",lettuce,lettuce,None of these,monster,milk,humanities
710,"What does the Hebrew word ×–×”×‘ (za-hav) translate to in English?
",gold,food,gold,None of these,money,humanities
711,"What does the Danish word fÃ¸dselsdag mean in English? (foudgshlsdag)
",Your Birthday,February,Your house,Mothers Day,Your Birthday,humanities
712,"What does the Czech phrase DobrÃ½ den mean in English?
",Good Day/Hello,Good Day/Hello,Good Night,How Are You?,Valentines Day,humanities
713,"What is the English equivalent of the Russian phrase Ð”Ð¾Ð±Ñ€Ð¾ Ð¿Ð¾Ð¶Ð°Ð»Ð¾Ð²Ð°Ñ‚ÑŒ (Dobro poÅ¾alovat)?
",Welcome,Goodbye,Welcome,Thank you,Sorry,humanities
714,"What does the Greek word Î’Î¿Î®Î¸ÎµÎ¹Î± (VoÃ­thia) mean in English?
",Help,Goodbye,What?,Help,Fire,humanities
715,"What does the Latin phrase Ave Maria mean in English?
",Hail Mary,By the grace of god,Hail Mary,Mary Avenue,Mary Loves you,humanities
716,"What does the Farsi phrase Ø´Ø¨ Ø¨Ø®ÙŠØ±  (shab bekheyr) mean in English?
",Good night,Good Luck,Good night,Good Morning,Goodbye,humanities
717,"What does the Hebrew phrase ×œ×”×ª×¨××•×ª (le-hei-tra-ot) mean in English?
",Goodbye,Come Hither,Walk far,That are just random letters.,Goodbye,humanities
718,"Which ancient author wrote Ten Books of Architecture, a work that contained the principles followed by Renaissance architects?
",Vitruvius,Vitruvius,Satyros,Aristotle,Pythias,humanities
719,"Who wrote Divina Proportione which explored the use of the golden ratio in the Renaissance architecture?
",Luca Pacioli,Le Combusier,Luca Pacioli,Leonardo Da Vinci,Palladio,humanities
720,"Who was the first architect since antiquity to use the classical orders Doric, Ionic and Corinthian in an appropriate manner?
",Brunelleschi,Brunelleschi,Donato Bramante,Leon Battista Alberti,Gian Lorenzo Bernini,humanities
721,"This Renaissance architect, famous as chief architect of the Venetian Republic, wrote the treatise Four Books on Architecture.
",Andrea Palladio,Michelozzo Michelozzi,Leonardo Da Vinci,Giovanni Baptista Quadrio,Andrea Palladio,humanities
722,"Italian Mannerism is a term related to the High Renaissance.
",False,False,True,,,humanities
723,"In which year was the term photography first used?
",1839,1839,1876,1729,1903,humanities
724,"In 1945 this man was given the Pulitzer Prize in News Photography for his famous photo of the raising the American flag on the Japanese island Iwo Jima.
",Joe Rosenthal,Joe Rosenthal,Frank Noel,Frank Filan,Milton Brooks,humanities
725,"When was the first aerial photograph taken?
",1858,1994,1456,1858,1938,humanities
726,"When was the first underwater photograph taken?
",1856,1966,1946,1976,1856,humanities
727,"This famous photojournalist specialized in war photographs. He covered the Spanish Civil War, The Second Sino-Japanese War, World War II (He landed on Omaha Beach!) ,The Israeli War for Independence, and The French-Indochina  War. What was his name?
",Robert Capra,Robert Capra,Spider Martin,Eddie Adams,David Eugene Smith,humanities
728,"When was the first permanently colored photograph taken?
",1861,1861,2001,1990,1959,humanities
729,"One can be amazed at the great detail and lack of distortion in the photographs of Civil War photographer Matthew Brady. What is the major reason for this?
",He used a really big camera.,Outdoor photographs are always better than indoor photographs.,He used a really big camera.,He used only the purest of chemicals in his darkroom.,He used linen rather than paper for his pictures.,humanities
730,"When was the first picture of a university class taken?
",1840,1827,1906,1876,1840,humanities
731,"When was the first digital camera introduced?
",1981,1981,1946,1978,1990,humanities
732,"He was a great American photographer and one of the inventors of the Zone System. He is probably best known for his images of Yosemite National Park. What is his name?
",Ansel Adams,Jacob Riis,David Eugene Smith,Minor White,Ansel Adams,humanities
733,"Which great singer/songwriter wrote the song Photographs and Memories?
",Jim Croce,Lionel Richie,Mariah Carey,Jim Webb,Jim Croce,humanities
734,"Which phrase refers to a costly victory that results in losses so high as to make you wonder whether it was worth it?
",Pyrrhic victory,Draconian victory,Macedonian victory,Gordian victory,Pyrrhic victory,humanities
735,"What term refers to amyotrophic lateral sclerosis?
",Lou Gehrigs Disease,Lou Gehrigs Disease,Tourette syndrome,Parkinsons disease,Brocas disease,humanities
736,"In the same year Jesse James was shot and killed, Edward Hopper was born.  What was the year?
",1882,1882,1895,1906,1870,humanities
737,"During the four years after he finished college, Edward Hopper made how many trips to Europe?
",3,3,1,0,5,humanities
738,"In Europe, Edward Hopper visited the Louvre Museum where he saw Degas painting The Cotton Exchange, New Orleans. He called it the most wonderful painting he had ever seen.
",False,True,False,,,humanities
739,"What was Edward Hoppers occupation in his forties?
",A commercial illustrator,A commercial illustrator,An art school professor,He ran his familys grocery store,A sailing instructor,humanities
740,"At what age did Edward Hopper have his first one-man show of paintings?
",37,37,22,45,29,humanities
741,"After Edward Hopper married painter Josephine Nivison, she became the only model for all of his female figures.
",True,True,False,,,humanities
742,"Edward Hopper once said, The only real influence Ive ever had was myself.
",True,False,True,,,humanities
743,"Where does Edward Hoppers most famous painting, â€œNighthawksâ€, reside?
",The Art Institute of Chicago,Museum of Modern Art in New York,The Whitney Museum of American Art,The Art Institute of Chicago,The Des Moines Art Center,humanities
744,"What family member does the Spanish noun â€˜abuelaâ€™ denote?
",Grandmother,Sister,Grandmother,Niece,Daughter,humanities
745,"What is the Spanish word for mirror?
",Espejo,Pelo,Espejo,Queso,Tenedor,humanities
746,"What is the meaning of the Spanish expression â€˜tengo sedâ€™?
",I am thirsty,I need to speak,I am lonely,I am thirsty,I am pregnant,humanities
747,"What part of the human body does the Spanish word â€˜dedoâ€™ denote?
",Finger,Foot,Kidney,Elbow,Finger,humanities
748,"What is the meaning of the Spanish phrase â€˜Le invito a almorzarâ€™?
",Iâ€™m inviting you to lunch,I was invited to a wedding,Life leads to death,Iâ€™m inviting you to lunch,We are moving to a house,humanities
749,"What color does the Spanish word â€˜verdeâ€™ denote?
",Green,Brown,Blue,Grey,Green,humanities
750,"What is the meaning of the Spanish word â€˜ordenadorâ€™?
",Computer,Waiter,Perambulator,Computer,Doctor,humanities
751,"What does the Spanish expression â€˜Me he perdido el bolsoâ€™ mean?
",I lost my bag,I lost my bag,My ex-husband wants me back,All this stuff is mine,I need to see the doctor,humanities
752,"Which day of the week does the Spanish word â€˜martesâ€™ denote?
",Tuesday,Tuesday,Wednesday,Monday,Friday,humanities
753,"What number does the Spanish word â€˜cienâ€™ denote?
",A hundred,Zero,Forty,Sixty,A hundred,humanities
754,"Which Greek god guides the dead to the river Styx to pay their toll to Charon so that they can get into the underworld?
",Hermes,Isis,Hades,Gaia,Hermes,humanities
755,"Is it true that according to Greek myths Arachne had great respect for Athena?
",No,No,Yes,,,humanities
756,"How was Prometheus punished for stealing fire and bringing it to humans?
",None of these,He was killed.,He was hung up on a mountain where every day a crow came and ate his liver.,He had to hold the sky up.,None of these,humanities
757,"Who is the mother of Dionysus?
",Semele,Hera,Maia,none of these,Semele,humanities
758,"The Afrikaans language is one of the official languages in this African country.
",South Africa,Botswana,South Africa,Lesotho,Namibia,humanities
759,"In what Asian country is the Nuosu language, also called Northern Yi, Liangshan Yi, Nosu, and Sichuan Yi, spoken?
",China,Vietnam,North Korea and South Korea,All of these,China,humanities
760,"What is the official language of Denmark?
",Danish,Finnish,Danish,Dutch,All of these,humanities
761,"On what continent is the Ga language spoken?
",Africa,South America,Africa,Australia,Asia,humanities
762,"What is the official language in Scotland?
",None of these,Scots,Gaelic,Scottish,None of these,humanities
763,"What type of language is the Tigre language, which is the native language of the Tigre people?
",Semitic,Semitic,Indo-European,Slavic,West Germanic,humanities
764,"In which of these countries is Spanish not an official language?
",Brazil,Brazil,Colombia,Honduras,Peru,humanities
765,"What is the official language of Andorra, a small country in southwestern Europe bordered by Spain and France?
",Catalan,Portuguese,French,Spanish,Catalan,humanities
766,"The Greek language has an official status on this Mediterranean island.
",Cyprus,Malta,Sardinia,Corsica,Cyprus,humanities
767,"The Igbo language is one of the official languages in this African country.
",Nigeria,Niger,Chad,Nigeria,Ethiopia,humanities
768,"In the Western part of the U.S. this word is used to express great enthusiasm.
",wahoo,yoohaw,whoahoa,woohaw,wahoo,humanities
769,"Which statement is untrue about Bill Bojangles Robinson who is regarded as the most famous tap dancer of all time?
","When honored by the King of England as the best dancer in the world, he said Thank you , King-Oh.",He was once made Honorary Mayor of Harlem in NYC.,He was famous for his stair dance.,He set a record of  8.2 seconds for the 75 yard backwards dash.,"When honored by the King of England as the best dancer in the world, he said Thank you , King-Oh.",humanities
770,"Which statement is not  true about Bill Robinson?
",His younger brother became his agent.,"He was making  $3,500 a week by 1910.",He switched names  with his younger  brother.,His younger brother became his agent.,He appeared in Stormy Weather with Lena Horne.,humanities
771,"This award winning tap dancer, inspired by Bojangles Robinson, had a unique technique. He danced as if he were on ice.
",Jimmy Slyde,Honi Coles,Jimmy Slyde,Bill Bailey,Sandman Sims,humanities
